dir,penalty,confirm,cagr,sharpe,max_drawdown,turnover,calendar,threshold,category_change
sweep_turnover_confirm_refined_p000_c2,0.0,2,0.1078848774127925,1.1623231986478697,-0.0494444177843772,1.5,1,0,1
sweep_turnover_confirm_refined_p010_c2,0.1,2,0.1015529848088734,1.1105279936611898,-0.0494444177843772,1.4,1,0,1
sweep_turnover_confirm_refined_p015_c2,0.15,2,0.0983867440202597,1.082881573305526,-0.0494444177843772,1.35,1,0,1
sweep_turnover_confirm_refined_p020_c2,0.2,2,0.0952203060540781,1.0541172074173797,-0.0494444177843772,1.3,1,0,1
sweep_turnover_confirm_p025_c2,0.25,2,0.0920536702670002,1.0242824886527009,-0.0494444177843772,1.25,1,0,1
sweep_turnover_confirm_refined_p030_c2,0.3,2,0.0888868360128967,0.9934340621838236,-0.0494444177843772,1.2000000000000002,1,0,1
sweep_turnover_confirm_refined_p035_c2,0.35,2,0.0857198026428196,0.9616371765548296,-0.0494444177843772,1.15,1,0,1
sweep_turnover_confirm_p050_c2,0.5,2,0.076217501304701,0.8613225637028762,-0.0494444177843772,1.0,1,0,1
sweep_turnover_confirm_p025_c3,0.25,3,0.0744291404080588,0.8324923472879389,-0.0494444177843772,1.2500000000000002,1,0,1
sweep_turnover_confirm_p050_c3,0.5,3,0.0646393279640302,0.7346660672757612,-0.0494444177843772,1.0,1,0,1
sweep_turnover_confirm_p075_c2,0.75,2,0.0603762886916732,0.6831305218049673,-0.0494444177843772,0.75,1,0,1
sweep_turnover_confirm_p075_c1,0.75,1,0.0558519328085345,0.6461254704760727,-0.0566374433187388,1.67610718619583,1,0,9
sweep_turnover_confirm_p090_c1,0.9,1,0.0553649256582631,0.6428198096826606,-0.0520953828747227,1.0497122601035387,1,0,9
sweep_turnover_confirm_p075_c3,0.75,3,0.0548438477931514,0.6248875430011381,-0.0494444177843772,0.75,1,0,1
sweep_turnover_confirm_p090_c2,0.9,2,0.0508691054524823,0.5738846441198805,-0.0494444177843772,0.5999999999999999,1,0,1
sweep_turnover_confirm_p050_c1,0.5,1,0.0490594450107575,0.5570812413442112,-0.0651640671018326,2.585403970167378,1,0,9
sweep_turnover_confirm_p090_c3,0.9,3,0.0489638485748034,0.5560748365063741,-0.0494444177843772,0.5999999999999999,1,0,1
sweep_turnover_confirm_p025_c1,0.25,1,0.048071103434806,0.5340659550574521,-0.0742130637131955,3.56245409940196,1,0,9
